,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
822,929160AT6,61761JZN2,458140AX8,74456QBS4,91324PCW0,46625HRX0,037833CR9,573284AT3,61761JZN2,53227JAA2,92345YAD8,743315AR4,37045XBT2,595620AQ8,615369AM7,37045XCG9,828807DC8,26442CAS3,70450YAD5,124857AT0,14040HBW4,79466LAF1,742718EB1,24422ETH2,458140AX8,61761JZN2,760759AS9,26442CAS3,91324PCY6,91324PCY6
823,808513BW4,918204BB3,14040HCE3,67021CAM9,11134LAH2,29365TAF1,14040HCE3,37045XCG9,918204BB3,695156AT6,34964CAA4,91324PCW0,61746BEF9,548661DP9,666807BN1,24422EUB3,96949LAD7,032654AN5,24703TAE6,57636QAJ3,816851BG3,64110LAS5,742718BG3,001192AM5,037833CR9,918204BB3,94106LBE8,032654AN5,256677AE5,907818EP9
824,17252MAN0,91159HHR4,74456QBS4,50077LBC9,124857AR4,29364NAU2,50077LBC9,24422EUB3,91159HHR4,26441YBA4,740189AM7,11134LAH2,78409VAM6,0258M0EL9,015271AK5,666807BN1,816851BA6,21036PAQ1,713448DN5,534187BH1,31428XBP0,084659AM3,701094AM6,842434CQ3,14040HCE3,91159HHR4,487836BU1,21036PAQ1,907818EP9,256677AE5
825,92277GAL1,65339KAT7,67021CAM9,928563AE5,015271AJ8,142339AH3,532457BP2,478160CK8,65339KAT7,832696AR9,78409VAD6,26444HAC5,38141GWB6,316773DA5,92340LAF6,615369AM7,052769AE6,534187BF5,37045XBQ8,49456BAP6,20030NCA7,12541WAA8,70109HAL9,855244AK5,05348EBA6,65339KAT7,369550AZ1,534187BF5,437076CA8,74340XBN0
826,68389XBU8,29717PAR8,50077LBC9,06406RAD9,26444HAC5,036752AB9,74456QBS4,015271AK5,595620AQ8,37045XCG9,40434LAA3,20030NBW0,459200JR3,21036PAS7,69353RFJ2,756109AU8,57772KAD3,717081EA7,92277GAJ6,26884ABJ1,124857AT0,370334CG7,695156AR0,202795JH4,50077LBC9,595620AQ8,61945CAG8,717081EA7,778296AC7,778296AC7
827,126650DH0,595620AQ8,928563AE5,22160KAM7,756109AS3,828807DE4,67021CAM9,756109AU8,237194AL9,24422EUB3,37045XCX2,756109AS3,666807BK7,037833CR9,808513AU9,05348EBC2,049560AN5,46625HJZ4,756109AR5,92277GAM9,21036PAY4,91159HHS2,718172BZ1,46625HRS1,67021CAM9,237194AL9,06051GGC7,46625HJZ4,74340XBN0,437076CA8
828,369550BL1,237194AL9,06406RAD9,693475AT2,20030NBW0,177376AE0,928563AE5,615369AM7,29717PAR8,666807BN1,931142ED1,124857AR4,20030NBY6,458140AX8,06406RAF4,11134LAR0,14149YBJ6,03939CAA1,501044DE8,036752AG8,57636QAJ3,06406RAH0,718172CA5,655844BS6,74456QBS4,29717PAR8,46625HRX0,03939CAA1,61761JZN2,61761JZN2
829,20030NDK4,548661DP9,22160KAM7,747525AU7,37045XBT2,573284AT3,06406RAD9,666807BN1,369604BV4,615369AM7,695114CS5,015271AJ8,75884RAV5,14040HCE3,14040HBW4,478160CK8,00507VAM1,91324PCW0,001055AQ5,855244AP4,842400GJ6,49326EEG4,718172CD9,34959JAG3,928563AE5,369604BV4,29364NAU2,91324PCW0,918204BB3,918204BB3
830,68902VAJ6,0258M0EL9,693475AT2,191216CE8,61746BEF9,832696AR9,22160KAM7,11134LAR0,548661DP9,11134LAR0,58013MFN9,37045XBT2,00724PAC3,74456QBS4,816851BG3,015271AK5,906548CM2,743315AR4,172967KY6,126408HJ5,92277GAM9,74456QBU9,718172AV1,11133TAC7,06406RAD9,548661DP9,177376AE0,743315AR4,91159HHR4,91159HHR4
831,49326EEK5,316773DA5,747525AU7,402479CF4,78409VAM6,695156AT6,693475AT2,92340LAF6,0258M0EL9,015271AK5,37045XAZ9,61746BEF9,31677QBR9,67021CAM9,443510AJ1,92340LAF6,12189LBA8,124857AR4,06051GFL8,842400GJ6,855244AP4,20030NCH2,718172BU2,631103AG3,22160KAM7,0258M0EL9,91324PCW0,124857AR4,65339KAT7,595620AQ8
832,278265AE3,21036PAS7,191216CE8,573284AQ9,38141GWB6,37045XCG9,747525AU7,69353RFJ2,316773DA5,30040WAE8,91324PCP5,78409VAM6,907818FJ2,05348EBA6,124857AT0,69353RFJ2,40434LAB1,015271AJ8,949746SH5,718172CE7,534187BH1,670346AP0,718172BE8,760759AR1,693475AT2,316773DA5,743315AR4,015271AJ8,237194AL9,65339KAT7
833,49338LAE3,458140AX8,402479CF4,824348AW6,459200JR3,24422EUB3,191216CE8,808513AU9,21036PAS7,756109AU8,46625HMN7,38141GWB6,594918BY9,50077LBC9,20030NCA7,808513AU9,037833CX6,756109AS3,07330MAA5,863667AQ4,49456BAP6,256677AF2,718172CH0,842587CV7,747525AU7,21036PAS7,756109AS3,756109AS3,595620AQ8,237194AL9
834,91324PCY6,037833CR9,037735CW5,655844BT4,666807BK7,30040WAE8,402479CF4,06406RAF4,458140AX8,478160CK8,907818ES3,459200JR3,037833CJ7,928563AE5,21036PAY4,06406RAF4,64110DAJ3,26444HAC5,26884ABF9,316773CV0,26884ABJ1,609207AM7,718172BM0,84610WAB1,191216CE8,458140AX8,015271AJ8,26444HAC5,369604BV4,369604BV4
835,256677AE5,14040HCE3,573284AQ9,59523UAN7,20030NBY6,015271AK5,037735CW5,14040HBW4,037833CR9,92340LAF6,713448CY2,666807BK7,370334BZ6,06406RAD9,31428XBP0,14040HBW4,90265EAM2,11134LAH2,98389BAU4,741503BC9,126408HJ5,688239AF9,69353RFB9,337738AT5,402479CF4,037833CR9,11134LAH2,11134LAH2,548661DP9,548661DP9
836,907818EP9,74456QBS4,126408HH9,053332AV4,75884RAV5,11134LAR0,655844BT4,816851BG3,14040HCE3,69353RFJ2,126650CL2,75884RAV5,29379VBL6,22160KAM7,57636QAJ3,816851BG3,099724AL0,20030NBW0,26442CAS3,693506BP1,036752AG8,369550BC1,693476BN2,931142EM1,126408HH9,14040HCE3,124857AR4,20030NBW0,0258M0EL9,0258M0EL9
837,74340XBN0,67021CAM9,59523UAN7,126408HH9,00724PAC3,05348EBC2,573284AQ9,124857AT0,50077LBC9,808513AU9,6174468C6,20030NBY6,14448CAP9,693475AT2,92277GAM9,31428XBP0,58013MFP4,37045XBT2,00115AAE9,862121AA8,718172CE7,760759AT7,20453KAB1,68389XBM6,824348AW6,50077LBC9,26444HAC5,37045XBT2,316773DA5,316773DA5
838,437076CA8,50077LBC9,053332AV4,337738BB3,31677QBR9,666807BN1,59523UAN7,20030NCA7,67021CAM9,06406RAF4,200339DX4,00724PAC3,031162CT5,747525AU7,49456BAP6,21036PAY4,682680AS2,61746BEF9,032654AN5,893574AK9,863667AQ4,189054AW9,69349LAG3,40414LAQ2,59523UAN7,67021CAM9,20030NBW0,61746BEF9,21036PAS7,21036PAS7
839,61761JZN2,05348EBA6,824348AW6,902494BC6,907818FJ2,615369AM7,126408HH9,21036PAY4,74456QBS4,14040HBW4,31677QBM0,31677QBR9,58013MFB5,191216CE8,036752AG8,20030NCA7,92343EAL6,78409VAM6,21036PAQ1,75884RAX1,316773CV0,487836BW7,69349LAK4,91159HHN3,053332AV4,74456QBS4,37045XBT2,78409VAM6,037833CR9,037833CR9
840,918204BB3,532457BP2,655844BT4,278642AU7,594918BY9,756109AU8,053332AV4,31428XBP0,532457BP2,816851BG3,458140AS9,907818FJ2,30219GAN8,402479CF4,26884ABJ1,124857AT0,871829BF3,38141GWB6,534187BF5,134429BG3,893574AK9,256746AH1,69353RFL7,693475AX3,037735CW5,532457BP2,61746BEF9,38141GWB6,458140AX8,458140AX8
841,91159HHR4,928563AE5,337738BB3,075887BW8,037833CJ7,478160CK8,824348AW6,57636QAJ3,928563AE5,124857AT0,06051GFS3,594918BY9,701094AJ3,59523UAN7,842400GJ6,57636QAJ3,189754AC8,459200JR3,46625HJZ4,808513BP9,741503BC9,78486QAH4,693475AV7,61761J3R8,573284AQ9,928563AE5,78409VAM6,459200JR3,14040HCE3,14040HCE3
842,595620AQ8,06406RAD9,902494BC6,25468PDV5,370334BZ6,92340LAF6,337738BB3,49456BAP6,06406RAD9,20030NCA7,824348AR7,037833CJ7,125523CB4,126408HH9,883203BY6,92277GAM9,03027XAP5,75884RAV5,717081EA7,92343VGH1,75884RAX1,29444UBR6,693475AP0,25466AAJ0,337738BB3,06406RAD9,38141GWB6,75884RAV5,74456QBS4,74456QBS4
843,65339KAT7,22160KAM7,278642AU7,526057CV4,29379VBL6,69353RFJ2,902494BC6,126408HJ5,22160KAM7,31428XBP0,842400GN7,370334BZ6,375558BM4,655844BT4,126408HJ5,26884ABJ1,94974BGL8,666807BK7,502431AL3,126650CX6,693506BP1,49271VAF7,05552JAA7,037833BZ2,902494BC6,22160KAM7,459200JR3,666807BK7,67021CAM9,532457BP2
844,237194AL9,693475AT2,075887BW8,96949LAD7,460146CP6,808513AU9,278642AU7,92277GAM9,693475AT2,21036PAY4,655844CA4,29379VBL6,808513AQ8,824348AW6,534187BH1,855244AP4,26884ABG7,20030NBY6,776743AD8,68389XCD5,134429BG3,891906AF6,693475AY1,594918BR4,278642AU7,693475AT2,75884RAV5,20030NBY6,50077LBC9,67021CAM9
845,548661DP9,747525AU7,25468PDV5,052769AE6,14448CAP9,06406RAF4,075887BW8,036752AG8,747525AU7,57636QAJ3,88579YAR2,14448CAP9,478160CE2,037735CW5,855244AP4,036752AG8,501044DJ7,00724PAC3,020002BD2,04621XAJ7,808513BP9,67103HAG2,040555CQ5,039483BL5,075887BW8,747525AU7,666807BK7,00724PAC3,532457BP2,50077LBC9
846,0258M0EL9,191216CE8,526057CV4,12189LBA8,031162CT5,14040HBW4,25468PDV5,26884ABJ1,191216CE8,92277GAM9,718172BQ1,031162CT5,14040HBN4,573284AQ9,718172CE7,883203BY6,742718EV7,31677QBR9,637417AJ5,605417CB8,92343VGH1,124857AX1,693506BN6,92343VDD3,25468PDV5,191216CE8,20030NBY6,31677QBR9,928563AE5,928563AE5
