,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
842400GU1,15.0,15.0,1.0,250.0,10.0,15.0,1.0,15,15,1.0,15.0,15.0,15.0,15.0,15.0,15,15.0,15,15.0,1.0,10.0,1,1,15.0,250.0,15.0,15.0,15.0,10.0,15.0
929160AZ2,15.0,250.0,5.0,2.0,10.0,2.0,5.0,2,10,5.0,5.0,5.0,250.0,15.0,5.0,5,250.0,15,5.0,15.0,15.0,15,15,15.0,15.0,10.0,10.0,15.0,5.0,15.0
487836BX5,20.0,10.0,5.0,15.0,2.0,250.0,20.0,15,20,2.0,15.0,2.0,15.0,15.0,15.0,2,15.0,15,2.0,15.0,10.0,15,15,15.0,15.0,20.0,15.0,15.0,15.0,10.0
26441CBH7,2.0,5.0,2.0,2.0,2.0,2.0,10.0,15,2,2.0,15.0,2.0,10.0,5.0,15.0,10,15.0,2,250.0,5.0,2.0,15,2,2.0,10.0,2.0,2.0,2.0,15.0,10.0
559080AQ9,7.0,7.0,4.0,5.0,2.0,5.0,5.0,250,10,15.0,15.0,5.0,5.0,15.0,250.0,250,15.0,10,5.0,15.0,10.0,15,8,9.0,15.0,10.0,250.0,10.0,5.0,2.0
65339KBR0,15.0,10.0,2.0,15.0,250.0,15.0,250.0,15,2,15.0,250.0,15.0,15.0,250.0,250.0,250,2.0,250,15.0,2.0,250.0,15,2,250.0,2.0,2.0,250.0,250.0,15.0,2.0
26442EAH3,2.0,5.0,5.0,5.0,10.0,2.0,20.0,2,10,20.0,10.0,20.0,5.0,10.0,10.0,5,5.0,20,5.0,10.0,20.0,10,20,10.0,10.0,10.0,2.0,20.0,10.0,10.0
883203CB5,15.0,15.0,15.0,15.0,15.0,2.0,15.0,15,15,15.0,15.0,15.0,15.0,15.0,15.0,2,15.0,15,15.0,15.0,15.0,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0
00846UAM3,15.0,15.0,10.0,10.0,2.0,15.0,250.0,15,15,20.0,15.0,10.0,15.0,15.0,10.0,2,10.0,15,15.0,20.0,15.0,10,20,15.0,15.0,15.0,2.0,15.0,2.0,10.0
78486QAE1,9.0,9.0,9.0,2.0,15.0,15.0,2.0,250,2,15.0,20.0,15.0,15.0,15.0,15.0,15,2.0,15,15.0,15.0,15.0,15,15,15.0,10.0,2.0,15.0,15.0,2.0,9.0
45866FAK0,250.0,250.0,10.0,2.0,20.0,250.0,2.0,15,2,2.0,250.0,2.0,2.0,250.0,2.0,15,250.0,250,2.0,15.0,250.0,15,10,10.0,15.0,2.0,250.0,250.0,2.0,250.0
31620RAJ4,5.0,5.0,5.0,10.0,2.0,15.0,5.0,5,10,10.0,15.0,250.0,20.0,10.0,15.0,5,15.0,10,15.0,2.0,15.0,10,15,15.0,15.0,10.0,2.0,10.0,5.0,15.0
74251VAS1,15.0,250.0,2.0,15.0,5.0,2.0,250.0,15,2,2.0,5.0,2.0,10.0,15.0,15.0,20,15.0,15,2.0,15.0,15.0,15,2,3.0,15.0,2.0,10.0,15.0,10.0,10.0
29364GAL7,15.0,250.0,250.0,250.0,250.0,10.0,250.0,250,250,20.0,15.0,15.0,20.0,10.0,250.0,250,250.0,2,15.0,2.0,2.0,2,10,15.0,15.0,250.0,250.0,2.0,10.0,2.0
75884RBA0,15.0,10.0,10.0,15.0,20.0,15.0,15.0,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15,10.0,15,15.0,15.0,15.0,15,10,15.0,15.0,15.0,15.0,15.0,10.0,10.0
