,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
202795JR2,200.0,100.0,100.0,10.0,5.0,100.0,100.0,50,10,250.0,5.0,100.0,100.0,2.0,100.0,100,100.0,250,100.0,100.0,100.0,10,100,5.0,100.0,10.0,5.0,250.0,100.0,2.0
760759AV2,150.0,150.0,250.0,150.0,150.0,250.0,250.0,200,200,250.0,150.0,100.0,100.0,200.0,50.0,6,200.0,200,150.0,250.0,200.0,200,59,100.0,150.0,200.0,200.0,200.0,100.0,150.0
278642AW3,250.0,125.0,250.0,150.0,250.0,250.0,250.0,50,250,200.0,250.0,250.0,250.0,250.0,250.0,50,250.0,250,250.0,250.0,250.0,250,250,200.0,250.0,250.0,250.0,250.0,250.0,250.0
832696AS7,150.0,150.0,100.0,150.0,150.0,200.0,250.0,150,250,150.0,100.0,200.0,100.0,200.0,150.0,100,150.0,150,100.0,150.0,200.0,150,200,150.0,200.0,250.0,100.0,150.0,100.0,50.0
38141GXH2,300.0,200.0,4.0,350.0,250.0,250.0,250.0,350,250,250.0,250.0,250.0,250.0,200.0,350.0,350,250.0,250,350.0,192.0,250.0,250,179,300.0,250.0,250.0,25.0,250.0,5.0,350.0
10112RBC7,200.0,200.0,250.0,250.0,250.0,150.0,200.0,200,200,250.0,200.0,250.0,250.0,200.0,250.0,828,15.0,250,250.0,250.0,250.0,1764,250,200.0,250.0,200.0,250.0,250.0,500.0,150.0
854502AL5,200.0,150.0,150.0,150.0,150.0,200.0,100.0,200,200,250.0,200.0,150.0,200.0,200.0,150.0,200,200.0,200,150.0,200.0,150.0,150,150,250.0,150.0,200.0,150.0,200.0,150.0,100.0
92343VFE9,250.0,50.0,1000.0,250.0,250.0,250.0,250.0,300,250,50.0,50.0,250.0,50.0,250.0,50.0,50,50.0,250,250.0,50.0,350.0,50,225,250.0,50.0,250.0,250.0,250.0,250.0,50.0
191216CT5,200.0,250.0,25.0,28.0,300.0,41.0,200.0,200,250,25.0,200.0,25.0,35.0,200.0,300.0,200,250.0,25,25.0,25.0,68.0,25,25,48.0,200.0,250.0,250.0,25.0,2000.0,400.0
742718FH7,250.0,75.0,250.0,250.0,250.0,300.0,250.0,250,100,250.0,250.0,250.0,300.0,250.0,250.0,47,300.0,350,250.0,250.0,250.0,250,56,250.0,250.0,100.0,2000.0,350.0,100.0,250.0
494368CB7,200.0,250.0,100.0,100.0,250.0,150.0,200.0,500,250,250.0,150.0,200.0,5000.0,250.0,500.0,150,200.0,200,100.0,200.0,200.0,200,150,250.0,3374.0,250.0,500.0,200.0,300.0,30.0
743315AW3,150.0,200.0,250.0,150.0,250.0,150.0,250.0,150,150,150.0,200.0,150.0,500.0,100.0,200.0,200,250.0,200,150.0,200.0,200.0,150,100,150.0,150.0,150.0,150.0,200.0,150.0,150.0
57636QAP9,400.0,250.0,250.0,250.0,250.0,250.0,200.0,350,250,250.0,250.0,2.0,50.0,350.0,250.0,50,350.0,300,2.0,250.0,250.0,350,250,78.0,250.0,250.0,300.0,300.0,335.0,300.0
039482AB0,150.0,250.0,160.0,160.0,250.0,150.0,250.0,200,100,150.0,250.0,250.0,250.0,100.0,250.0,1000,150.0,200,300.0,160.0,250.0,150,250,150.0,150.0,100.0,200.0,200.0,100.0,250.0
